Name,Distribution,Min/Mean,Max/Std,Explanation
Lens mass (Singular isothermal ellipsoid),,,,
$e_1$,Normal,0,0.1,Eccentricity
$e_2$,Normal,0,0.1,Eccentricity
$\gamma_1$,Normal,0,0.05,Shear component
$\gamma_2$,Normal,0,0.05,Shear component
Lens light (S\'ersic),,,,
$R_{sersic}$,Truncated normal,-2 / 0.35,2 / 0.05,Semi-major axis half-light radius
$n_{sersic}$,Truncated normal,-6 / 3,$\infty$ / 0.5,S\'ersic index
$e_1$,Normal,0,0.1,Eccentricity
$e_2$,Normal,0,0.1,Eccentricity
Source light (S\'ersic),,,,
$R_{sersic}$,Truncated normal,-2 / 0.35,2 / 0.05,Semi-major axis half-light radius
$n_{sersic}$,Truncated normal,-6 / 3,$\infty$ / 0.5,S\'ersic index
$e_1$,Normal,0,0.1,Eccentricity
$e_2$,Normal,0,0.1,Eccentricity
